,WELL_BORE_CODE,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,FLOW_KIND,WELL_TYPE
5829,NO 15/9-F-14 H,251.28,106.68,59.86,50.46,90.76,17.33,2370.07,340847.55,3414.0,production,OP
5830,NO 15/9-F-14 H,252.57,106.67,57.34,51.63,91.09,18.53,2298.14,331205.23,3334.67,production,OP
5831,NO 15/9-F-14 H,262.27,106.53,41.34,63.79,91.41,30.72,1907.63,279405.31,2916.15,production,OP
5832,NO 15/9-F-14 H,263.06,106.48,39.87,63.95,90.34,30.99,1834.07,266509.39,2736.46,production,OP
5833,NO 15/9-F-14 H,263.65,106.46,39.12,66.38,91.13,33.44,1800.02,261444.2,2673.75,production,OP
5834,NO 15/9-F-14 H,263.41,106.46,39.41,65.2,92.25,32.24,1793.18,263113.49,2707.0,production,OP
5835,NO 15/9-F-14 H,263.73,106.45,39.4,63.65,90.26,30.72,1841.44,268895.24,2815.01,production,OP
5836,NO 15/9-F-14 H,263.71,106.45,39.28,62.84,90.88,29.89,1818.54,265260.44,2814.92,production,OP
5837,NO 15/9-F-14 H,263.62,106.45,39.47,62.76,91.04,29.81,1805.19,263330.08,2834.24,production,OP
5838,NO 15/9-F-14 H,269.39,106.37,32.99,67.78,89.27,34.92,1393.69,206141.46,2237.75,production,OP
5839,NO 15/9-F-14 H,263.78,106.44,39.69,62.73,90.02,29.74,1729.9,252874.96,2873.24,production,OP
5840,NO 15/9-F-14 H,258.76,106.5,47.93,57.18,92.5,24.14,2033.15,295470.56,3296.94,production,OP
5841,NO 15/9-F-14 H,250.82,106.63,62.15,47.95,93.11,14.71,2582.65,372301.4,4061.44,production,OP
5842,NO 15/9-F-14 H,251.05,106.63,62.31,48.05,92.99,14.45,2582.08,371452.46,4099.67,production,OP
5843,NO 15/9-F-14 H,251.23,106.63,62.11,48.03,91.56,14.38,2574.44,371282.32,3722.6,production,OP
5844,NO 15/9-F-14 H,251.32,106.63,61.98,47.99,90.61,14.36,2572.81,371287.4,3905.65,production,OP
5845,NO 15/9-F-14 H,251.39,106.62,61.99,47.92,91.74,14.29,2562.15,369933.7,3907.52,production,OP
5846,NO 15/9-F-14 H,251.39,106.62,62.01,47.84,92.12,14.22,2551.65,368216.34,3037.37,production,OP
5847,NO 15/9-F-14 H,251.29,106.61,62.09,47.76,92.87,14.15,2545.39,366496.31,3180.92,production,OP
5848,NO 15/9-F-14 H,251.04,106.6,62.9,47.46,92.54,13.85,2546.15,366948.65,3450.01,production,OP
5849,NO 15/9-F-14 H,250.87,106.6,63.24,47.31,92.77,13.69,2541.25,366305.81,3472.4,production,OP
5850,NO 15/9-F-14 H,250.9,106.59,63.32,47.36,93.21,13.75,2530.04,365410.6,3504.94,production,OP
5851,NO 15/9-F-14 H,251.6,106.58,60.85,48.05,93.2,14.47,2413.44,348507.24,3373.7,production,OP
5852,NO 15/9-F-14 H,252.1,106.57,59.21,48.47,93.12,14.92,2384.28,344604.71,3344.9,production,OP
5853,NO 15/9-F-14 H,252.1,106.57,59.2,48.38,92.77,14.83,2382.55,343975.62,3351.67,production,OP
5854,NO 15/9-F-14 H,252.1,106.56,59.1,48.44,93.34,14.87,2370.34,342144.37,3351.14,production,OP
5855,NO 15/9-F-14 H,252.06,106.56,59.24,48.31,92.97,14.75,2377.02,343677.86,3362.83,production,OP
5856,NO 15/9-F-14 H,252.15,106.55,59.13,48.41,93.25,14.86,2370.99,342499.13,3360.01,production,OP
